rozmiar;kopiec;lista;tablica
4526;1.42953;1.3084;1.47607
4551;1.32707;1.341;1.42027
4576;1.31313;1.20607;1.49013
4601;1.3782;1.33647;1.5178
4626;1.33173;1.1872;1.45293
4651;1.34087;1.20133;1.4386
4676;1.32713;1.2992;1.51787
4701;1.38767;1.2104;1.39687
4726;1.41547;1.75547;1.42007
4751;1.32233;1.34093;1.48067
4776;1.406;1.25713;1.44807
4801;1.37353;1.24793;1.45727
4826;1.3644;1.19667;1.49467
4851;1.42947;1.1874;1.48073
4876;1.38747;1.19673;1.52693
4901;1.38767;1.21067;1.46687
4926;1.4528;1.22933;1.43427
4951;1.3922;1.32707;1.44347
4976;1.41087;1.2712;1.4156
5001;1.43887;1.28973;1.48547
5026;1.36427;1.2432;1.42493
5051;1.3362;1.2666;1.49927
5076;1.42947;1.1222;1.43887
5101;1.327;1.2152;1.39693
5126;2.03033;1.2526;1.41547
5151;1.46687;1.40627;1.4576
5176;1.28993;1.2896;1.4016
5201;1.42487;1.27127;1.4062
5226;1.38753;1.2572;1.43407
5251;1.42953;1.1502;1.49007
5276;1.30373;1.26653;1.43427
5301;1.3736;1.10353;1.4294
5326;1.42027;1.1872;1.44813
5351;1.42013;1.47127;1.42953
5376;1.35967;1.20607;1.5224
5401;1.46213;1.3038;1.47127
5426;1.34107;1.28047;1.38773
5451;1.41093;1.3224;1.38747
5476;1.36407;1.23853;1.4062
5501;1.39233;1.24787;1.43893
5526;1.4202;1.32247;1.44353
5551;1.31773;1.2386;1.47147
5576;1.36887;1.1872;1.42953
5601;1.33633;1.22473;1.34113
5626;1.42947;1.085;1.4712
5651;1.36907;1.23847;1.49007
5676;1.42013;1.16873;1.43847
5701;1.39673;1.19193;1.45293
5726;1.39707;1.2666;1.41087
5751;1.36893;1.47127;1.44333
5776;1.35973;1.30847;1.49927
5801;3.2826;1.31313;3.24533
5826;1.3268;1.1036;1.504
5851;1.38753;1.3364;1.42967
5876;1.28967;1.22913;1.4108
5901;1.4574;1.164;1.45747
5926;1.39207;1.18733;2.1324
5951;1.31313;1.2896;1.42027
5976;1.3688;1.18747;1.43873
6001;1.39707;1.178;1.4806
6026;1.42027;1.15487;1.44787
6051;1.327;1.113;1.41553
6076;1.39673;1.1732;1.42933
6101;1.2526;1.285;1.4248
6126;1.36427;1.31307;1.3924
6151;1.36427;1.299;1.44353
6176;1.42007;1.19207;1.46187
6201;1.3596;1.30367;1.4202
6226;1.30847;1.2154;1.4528
6251;1.36427;1.22907;1.43407
6276;1.33653;1.16407;1.45747
6301;1.32227;1.24327;1.48073
6326;1.41547;1.24307;1.4436
6351;1.34107;1.37367;1.46193
6376;1.33167;1.18733;1.5226
6401;1.3784;1.24807;1.48533
6426;1.3736;1.21053;1.3922
6451;1.41073;1.3502;1.43407
6476;1.37347;1.15933;1.4574
6501;1.40147;1.10367;2.0628
6526;1.38293;1.20133;1.43427
6551;1.38753;1.25687;1.42947
6576;1.42953;1.2806;1.4386
6601;1.39213;1.21547;1.52727
6626;1.37827;1.81113;1.4154
6651;1.30373;1.25247;1.49927
6676;1.41093;1.11287;1.47613
6701;1.3922;1.23393;1.41553
6726;1.41093;1.2106;1.42947
6751;1.40633;1.36433;1.476
6776;1.43867;1.2012;2.10473
6801;1.35953;1.18733;1.45273
6826;1.3596;1.262;1.54113
6851;1.4016;1.20593;1.4388
6876;1.3922;1.1874;1.45753
6901;1.2992;1.33633;1.45727
6926;1.3782;1.1782;1.41093
6951;1.34087;1.3038;1.42947
6976;1.33647;1.25233;1.42933
7001;1.43887;1.26647;1.42947
7026;1.3036;1.2246;1.42947
7051;1.38287;1.29447;1.45287
7076;1.38287;1.2478;1.44813
7101;1.36907;1.1082;1.42947
7126;1.341;1.25727;1.46673
7151;1.35493;1.28047;1.44807
7176;1.34573;1.27573;1.43867
7201;1.234;1.19667;1.43893
7226;1.40147;1.192;1.4248
7251;1.41547;1.1734;1.476
7276;1.42953;1.15933;1.41993
7301;1.33173;1.18273;1.44827
7326;1.33153;1.1498;2.044
7351;1.34113;1.29913;1.42953
7376;1.33173;1.2806;1.4294
7401;1.3968;1.19673;1.4622
7426;1.38753;1.23393;1.46213
7451;1.39667;1.2666;1.4248
7476;1.35493;1.26193;1.40613
7501;1.40613;1.29453;1.4762
7526;1.4062;1.15933;1.4248
7551;1.29907;1.42947;1.54587
7576;1.27127;1.17793;1.4248
7601;1.37373;1.21533;1.53653
7626;1.40627;1.14067;1.50387
7651;1.45733;1.29447;1.46213
7676;1.3364;1.31307;1.43413
7701;1.36893;1.14093;1.43413
7726;1.40147;1.1828;1.4296
7751;1.32247;1.4108;1.4108
7776;1.28507;1.23867;1.4156
7801;1.38753;1.21993;1.45733
7826;1.271;1.23387;1.46207
7851;1.39693;1.30847;1.47613
7876;1.31773;1.34093;1.48547
7901;1.3364;1.2246;1.3642
7926;1.33173;1.13153;1.4248
7951;1.41093;1.41073;1.45273
7976;1.41093;1.29913;1.4434
8001;1.34547;1.15473;1.42927
8026;1.36893;1.18273;1.518
8051;1.34107;1.13627;1.4108
8076;1.43893;1.16407;1.4014
8101;1.36433;1.33167;1.4154
8126;1.4668;1.12673;1.42487
8151;1.35973;1.30387;1.45747
8176;1.42953;1.21047;1.39687
8201;1.45267;1.22933;2.12793
8226;1.3736;1.25247;1.47153
8251;1.42967;1.234;1.448
8276;1.33173;1.24333;1.425
8301;1.38747;1.1362;1.47607
8326;1.33627;1.20607;1.39693
8351;1.313;1.33653;1.48527
8376;1.36433;1.178;1.42033
8401;1.39693;1.32247;1.4202
8426;1.42013;1.3084;1.4296
8451;1.42953;1.23373;1.43413
8476;1.3828;1.17813;2.1698
8501;1.33633;1.1362;1.44347
8526;1.98827;1.20127;1.45727
8551;1.4154;1.50867;1.47607
8576;1.40613;1.17813;1.40153
8601;1.39687;1.29447;1.4388
8626;1.35507;1.31293;1.36887
8651;1.24333;1.22907;1.52253
8676;1.36893;1.22;1.47607
8701;1.34573;1.26647;1.45287
8726;1.58307;1.2246;1.35493
8751;1.3596;1.30387;1.40167
8776;1.3642;1.15953;1.4248
8801;1.47127;1.3038;1.4248
8826;1.2992;1.22467;1.44327
8851;1.3686;1.78333;1.43873
8876;1.35493;1.19207;1.52733
8901;1.2992;1.17813;1.46207
8926;1.2666;1.1734;1.45287
8951;1.38747;1.2944;1.48987
8976;1.4248;1.38287;1.4528
9001;1.36913;1.17813;1.4294
9026;1.33173;1.19193;1.4388
9051;1.3596;1.3364;1.42933
9076;1.42027;1.21053;1.4202
9101;1.37827;1.23867;1.49933
9126;1.40153;1.19673;1.4156
9151;1.4386;1.33633;1.48527
9176;1.37833;1.29927;1.4436
9201;1.35953;1.28513;1.44347
9226;1.36427;1.3084;1.45747
9251;1.39207;1.27593;1.4016
9276;1.39667;1.22453;1.4248
9301;1.40153;1.21067;1.47153
9326;1.35033;1.23853;1.425
9351;1.32247;1.26647;1.44807
9376;1.39693;1.23873;1.48993
9401;1.42487;1.18253;1.439
9426;1.33627;1.2758;1.4666
9451;1.37353;1.23407;1.45273
9476;1.41087;1.76473;1.38307
9501;1.36433;1.2758;1.39693
9526;1.35507;1.30373;1.4342
9551;1.3922;1.44813;1.49
9576;1.4576;1.2758;1.42953
9601;1.39693;1.13147;1.4342
9626;1.341;1.32707;1.4574
9651;1.4156;1.327;1.41107
9676;1.39233;1.12227;1.38293
9701;1.39693;1.11273;1.4434
9726;1.3132;1.11747;1.46673
9751;1.364;1.34567;1.43873
9776;1.33613;1.2294;1.44367
9801;1.32247;1.35047;1.4806
9826;1.37367;1.0708;1.46647
9851;1.37827;1.1408;1.4994
9876;1.37353;1.23867;1.4482
9901;1.43427;1.2198;1.4946
9926;1.40627;1.29427;1.41547
9951;1.43873;1.32233;1.43873
9976;1.2756;1.17813;1.45733
